                  epoch,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/cls_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 97.203,                0.00689,                0.09548,                 0.0076,                0.00298,                 10.251,                 0.0001,                 0.0001,                 0.0001
                      2,                 13.223,                0.02024,                0.18887,                0.02487,                0.00529,                  6.872,             9.9667e-05,             9.9667e-05,             9.9667e-05
                      3,                  9.577,                0.11001,                0.22262,                0.06445,                0.01502,                  5.834,             9.9333e-05,             9.9333e-05,             9.9333e-05
                      4,                  8.593,                0.18091,                0.23628,                 0.1102,                0.02669,                 5.7093,                9.9e-05,                9.9e-05,                9.9e-05
                      5,                 8.4028,                 0.1951,                0.21055,                0.12686,                 0.0305,                 5.5783,             9.8667e-05,             9.8667e-05,             9.8667e-05
                      6,                 8.1851,                0.21634,                 0.2273,                0.13997,                0.03546,                  5.443,             9.8334e-05,             9.8334e-05,             9.8334e-05
                      7,                 7.9766,                0.24909,                0.24112,                0.15883,                0.04062,                 5.3301,                9.8e-05,                9.8e-05,                9.8e-05
                      8,                 7.8263,                0.25606,                0.26142,                0.17124,                0.04277,                 5.2703,             9.7667e-05,             9.7667e-05,             9.7667e-05
                      9,                 7.7433,                0.25601,                0.27002,                 0.1772,                0.04481,                  5.219,             9.7334e-05,             9.7334e-05,             9.7334e-05
                     10,                 7.6746,                 0.2563,                0.27663,                0.18041,                0.04557,                 5.1618,                9.7e-05,                9.7e-05,                9.7e-05
                     11,                 7.5946,                0.26094,                0.28697,                0.18521,                0.04744,                 5.1145,             9.6667e-05,             9.6667e-05,             9.6667e-05
                     12,                 7.5261,                0.27026,                0.28744,                0.18972,                0.04808,                 5.0496,             9.6334e-05,             9.6334e-05,             9.6334e-05
                     13,                 7.4768,                0.28017,                0.28461,                0.19677,                  0.051,                 5.0103,                9.6e-05,                9.6e-05,                9.6e-05
                     14,                 7.4205,                0.27789,                0.29585,                0.19519,                0.04961,                 4.9779,             9.5667e-05,             9.5667e-05,             9.5667e-05
                     15,                 7.3898,                0.26647,                0.30482,                0.19239,                0.04851,                 4.9477,             9.5334e-05,             9.5334e-05,             9.5334e-05
