                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9693,                 3.2395,                 4.0381,                0.64611,                0.19614,                0.12421,                0.03551,                 2.3989,                 4.1308,                 3.5758,               0.003309,               0.003309,               0.003309
                      2,                 2.8028,                 2.0952,                 3.4678,                0.25232,                0.21366,                0.13779,                0.04186,                 2.5486,                 2.7914,                 3.5804,              0.0066204,              0.0066204,              0.0066204
                      3,                 2.3203,                 1.8976,                 2.9783,                 0.4767,                0.51205,                0.41709,                0.16729,                 2.0118,                 2.6065,                 2.8316,              0.0099098,              0.0099098,              0.0099098
                      4,                 2.0481,                 1.7497,                 2.6777,                0.63588,                0.55579,                0.60024,                  0.245,                 1.9022,                 1.9009,                 2.6359,               0.009901,               0.009901,               0.009901
                      5,                  1.903,                 1.6068,                 2.5069,                0.77836,                0.70627,                0.78905,                0.38656,                 1.7255,                 1.4303,                 2.4037,               0.009868,               0.009868,               0.009868
                      6,                 1.8154,                 1.4968,                 2.4075,                0.76882,                0.65733,                0.74418,                0.38049,                 1.6764,                 1.8701,                 2.3245,               0.009835,               0.009835,               0.009835
                      7,                 1.7526,                 1.4139,                 2.3372,                0.72945,                0.63296,                0.71287,                 0.3567,                 1.6489,                 1.5039,                 2.3028,               0.009802,               0.009802,               0.009802
                      8,                  1.717,                 1.3552,                 2.2948,                0.81018,                0.75412,                0.82965,                0.45176,                 1.5406,                  1.212,                 2.1985,               0.009769,               0.009769,               0.009769
                      9,                   1.68,                 1.3092,                 2.2692,                 0.8395,                0.75111,                0.83766,                0.46253,                 1.5084,                 1.1712,                 2.1488,               0.009736,               0.009736,               0.009736
                     10,                 1.6494,                 1.2699,                 2.2407,                0.89828,                0.78078,                0.87049,                0.51447,                  1.439,                 1.0195,                 2.0835,               0.009703,               0.009703,               0.009703
                     11,                 1.6316,                 1.2339,                 2.2182,                0.85263,                0.73645,                0.83969,                0.44793,                  1.596,                 1.1471,                 2.2361,                0.00967,                0.00967,                0.00967
                     12,                 1.6109,                 1.2063,                 2.2034,                0.80739,                0.70133,                0.80857,                0.45711,                 1.4813,                 1.3872,                 2.1319,               0.009637,               0.009637,               0.009637
                     13,                 1.5968,                 1.1831,                 2.1844,                 0.7971,                0.66746,                0.78815,                0.46132,                  1.468,                 1.4704,                 2.1201,               0.009604,               0.009604,               0.009604
                     14,                 1.5718,                 1.1512,                  2.167,                0.88793,                0.76932,                0.87565,                0.53256,                  1.367,                 1.2692,                 2.0005,               0.009571,               0.009571,               0.009571
                     15,                 1.5664,                 1.1277,                 2.1509,                0.83511,                0.66396,                0.76864,                0.46128,                 1.4259,                 1.2497,                  2.114,               0.009538,               0.009538,               0.009538
                     16,                 1.5536,                  1.123,                 2.1424,                0.84236,                0.74099,                 0.8462,                0.51445,                 1.3858,                 1.3149,                 2.0117,               0.009505,               0.009505,               0.009505
                     17,                 1.5406,                 1.1041,                 2.1265,                0.91209,                0.81666,                0.90768,                 0.5708,                 1.3164,                0.85935,                 1.9375,               0.009472,               0.009472,               0.009472
                     18,                 1.5258,                 1.0931,                 2.1159,                0.88729,                0.78007,                0.85671,                0.53197,                 1.3456,                 1.0683,                 1.9876,               0.009439,               0.009439,               0.009439
                     19,                 1.5208,                 1.0734,                 2.1026,                0.88904,                0.73742,                0.86282,                0.54606,                 1.3115,                0.97359,                 1.9786,               0.009406,               0.009406,               0.009406
                     20,                 1.5054,                 1.0592,                 2.0917,                0.92366,                0.84467,                0.92436,                0.58672,                 1.2775,                0.81708,                    1.9,               0.009373,               0.009373,               0.009373
                     21,                 1.5014,                 1.0545,                 2.0883,                 0.9114,                0.84138,                0.92131,                0.58551,                  1.288,                0.83169,                 1.9259,                0.00934,                0.00934,                0.00934
                     22,                 1.4887,                 1.0421,                 2.0748,                0.91892,                0.83616,                0.92241,                 0.5889,                 1.2889,                0.81318,                 1.9156,               0.009307,               0.009307,               0.009307
                     23,                 1.4732,                 1.0256,                 2.0605,                0.87438,                0.72087,                0.84249,                0.51914,                 1.3275,                 1.0342,                 1.9828,               0.009274,               0.009274,               0.009274
                     24,                  1.465,                 1.0235,                  2.056,                0.89808,                0.78685,                0.88677,                0.56463,                 1.2917,                0.97234,                 1.9234,               0.009241,               0.009241,               0.009241
                     25,                 1.4542,                 1.0039,                 2.0428,                 0.9227,                0.80414,                0.91118,                0.58505,                 1.2693,                0.82719,                 1.9122,               0.009208,               0.009208,               0.009208
                     26,                 1.4488,                0.99881,                 2.0342,                0.93618,                0.83642,                0.91464,                0.59369,                 1.2675,                0.80547,                  1.906,               0.009175,               0.009175,               0.009175
                     27,                  1.443,                 0.9905,                 2.0276,                0.93041,                0.85578,                0.93311,                0.61004,                 1.2603,                0.74692,                 1.8756,               0.009142,               0.009142,               0.009142
                     28,                 1.4327,                0.98376,                 2.0247,                 0.9298,                0.83875,                0.92952,                0.60952,                 1.2517,                0.75033,                 1.8742,               0.009109,               0.009109,               0.009109
                     29,                 1.4266,                0.97105,                  2.015,                0.94082,                0.85801,                0.94071,                0.62126,                 1.2265,                0.73188,                 1.8585,               0.009076,               0.009076,               0.009076
                     30,                 1.4205,                0.96767,                 2.0167,                0.92661,                0.84447,                 0.9226,                0.59326,                 1.2682,                0.77284,                 1.9076,               0.009043,               0.009043,               0.009043
