                  epoch,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/cls_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 34.453,                0.02867,                 0.5967,                0.17144,                0.13581,                 5.5405,                 0.0001,                 0.0001,                 0.0001
                      2,                 7.0724,                0.38007,                0.49649,                0.38078,                 0.3009,                 3.6582,             9.9306e-05,             9.9306e-05,             9.9306e-05
                      3,                  5.409,                0.59791,                0.63299,                0.67384,                0.51345,                 2.7571,             9.8611e-05,             9.8611e-05,             9.8611e-05
                      4,                 4.3686,                0.77928,                0.75713,                 0.8426,                0.64199,                 2.1788,             9.7917e-05,             9.7917e-05,             9.7917e-05
                      5,                 3.7492,                0.79318,                0.78852,                0.87812,                0.67191,                 1.8907,             9.7223e-05,             9.7223e-05,             9.7223e-05
                      6,                 3.3478,                0.79734,                0.80562,                0.88685,                0.67692,                 1.7081,             9.6528e-05,             9.6528e-05,             9.6528e-05
                      7,                 3.1166,                0.80077,                0.82123,                0.89523,                0.68295,                 1.5733,             9.5834e-05,             9.5834e-05,             9.5834e-05
                      8,                 2.9701,                0.82859,                0.82511,                0.90246,                0.69343,                 1.4795,             9.5139e-05,             9.5139e-05,             9.5139e-05
                      9,                 2.8511,                0.80872,                0.85925,                0.91212,                0.69695,                 1.4157,             9.4445e-05,             9.4445e-05,             9.4445e-05
                     10,                 2.7387,                0.84044,                 0.8562,                0.92324,                0.70763,                 1.3473,             9.3751e-05,             9.3751e-05,             9.3751e-05
                     11,                 2.6228,                0.86698,                0.83913,                0.92525,                0.70738,                 1.3185,             9.3056e-05,             9.3056e-05,             9.3056e-05
                     12,                 2.5174,                0.85602,                0.85599,                0.92991,                0.71101,                 1.2783,             9.2362e-05,             9.2362e-05,             9.2362e-05
                     13,                 2.4474,                0.87059,                0.85643,                 0.9351,                0.71858,                 1.2414,             9.1668e-05,             9.1668e-05,             9.1668e-05
                     14,                 2.4402,                0.87455,                0.84843,                0.93684,                0.71829,                 1.2236,             9.0973e-05,             9.0973e-05,             9.0973e-05
                     15,                 2.3671,                0.87084,                0.86021,                0.94162,                0.72165,                 1.1951,             9.0279e-05,             9.0279e-05,             9.0279e-05
                     16,                 2.3593,                0.87701,                0.86185,                0.94329,                0.72127,                 1.1707,             8.9584e-05,             8.9584e-05,             8.9584e-05
                     17,                 2.3188,                0.88132,                0.86368,                0.94703,                0.72146,                 1.1522,              8.889e-05,              8.889e-05,              8.889e-05
                     18,                  2.245,                0.88857,                0.86161,                0.94852,                0.72543,                  1.122,             8.8196e-05,             8.8196e-05,             8.8196e-05
                     19,                 2.2101,                0.90066,                0.87025,                0.95436,                0.72923,                 1.0851,             8.7501e-05,             8.7501e-05,             8.7501e-05
                     20,                 2.1772,                0.91304,                0.86956,                0.95625,                  0.731,                 1.0534,             8.6807e-05,             8.6807e-05,             8.6807e-05
                     21,                 2.1173,                0.91228,                0.89242,                0.95997,                0.73213,                 1.0302,             8.6113e-05,             8.6113e-05,             8.6113e-05
                     22,                 2.1158,                0.88772,                0.91352,                0.96152,                 0.7323,                 1.0098,             8.5418e-05,             8.5418e-05,             8.5418e-05
                     23,                 2.0858,                0.90716,                0.91057,                0.96462,                 0.7316,                0.99108,             8.4724e-05,             8.4724e-05,             8.4724e-05
                     24,                 2.0667,                0.91837,                0.91313,                0.96667,                 0.7395,                0.95646,             8.4029e-05,             8.4029e-05,             8.4029e-05
                     25,                  2.036,                0.91808,                0.91065,                0.96858,                0.74021,                  0.943,             8.3335e-05,             8.3335e-05,             8.3335e-05
                     26,                 1.9689,                0.93492,                0.90577,                0.96848,                0.73985,                 0.9293,             8.2641e-05,             8.2641e-05,             8.2641e-05
                     27,                 2.0218,                0.93157,                0.91192,                 0.9711,                0.74359,                 0.9167,             8.1946e-05,             8.1946e-05,             8.1946e-05
                     28,                 2.0172,                0.92271,                0.91427,                0.97043,                0.74323,                0.91192,             8.1252e-05,             8.1252e-05,             8.1252e-05
                     29,                 1.9612,                0.93547,                0.91967,                 0.9742,                0.74599,                0.88619,             8.0558e-05,             8.0558e-05,             8.0558e-05
                     30,                 1.9253,                 0.9251,                0.92139,                0.97206,                0.74318,                0.88765,             7.9863e-05,             7.9863e-05,             7.9863e-05
                     31,                 1.9483,                0.94752,                0.91191,                0.97498,                0.74246,                 0.8775,             7.9169e-05,             7.9169e-05,             7.9169e-05
                     32,                 1.9061,                0.93319,                0.92696,                0.97467,                0.74986,                0.85452,             7.8474e-05,             7.8474e-05,             7.8474e-05
                     33,                 1.8835,                0.91475,                0.93897,                0.97417,                0.74732,                0.86375,              7.778e-05,              7.778e-05,              7.778e-05
                     34,                 1.8803,                0.93899,                0.92482,                0.97609,                0.74948,                0.84596,             7.7086e-05,             7.7086e-05,             7.7086e-05
                     35,                 1.8862,                0.94587,                0.92006,                0.97563,                0.74615,                0.84874,             7.6391e-05,             7.6391e-05,             7.6391e-05
                     36,                 1.8425,                0.93963,                 0.9399,                0.97831,                0.75334,                 0.8218,             7.5697e-05,             7.5697e-05,             7.5697e-05
                     37,                 1.8113,                0.94443,                0.93974,                0.97898,                0.74839,                0.82496,             7.5002e-05,             7.5002e-05,             7.5002e-05
                     38,                 1.8252,                 0.9507,                0.93141,                0.97962,                0.75296,                 0.8164,             7.4308e-05,             7.4308e-05,             7.4308e-05
                     39,                 1.8259,                0.92317,                 0.9492,                0.98077,                0.75461,                0.81219,             7.3614e-05,             7.3614e-05,             7.3614e-05
                     40,                 1.8452,                0.94941,                0.93571,                0.98105,                0.75712,                 0.7988,             7.2919e-05,             7.2919e-05,             7.2919e-05
                     41,                 1.8022,                0.94188,                0.93755,                0.97942,                 0.7539,                0.80458,             7.2225e-05,             7.2225e-05,             7.2225e-05
                     42,                 1.7797,                0.95101,                0.93464,                0.98125,                0.75061,                0.79872,             7.1531e-05,             7.1531e-05,             7.1531e-05
                     43,                 1.7605,                0.94538,                0.94646,                0.98145,                0.75405,                0.78794,             7.0836e-05,             7.0836e-05,             7.0836e-05
                     44,                 1.7717,                0.93684,                0.94304,                0.98014,                0.75235,                0.78808,             7.0142e-05,             7.0142e-05,             7.0142e-05
                     45,                 1.7448,                0.94287,                0.94308,                0.98171,                0.75545,                0.77559,             6.9447e-05,             6.9447e-05,             6.9447e-05
